ID,Risk/Opportunity,Risk/Opportunity Description,Relevant Issue / Interested Party,Risk/Opportunity Owner,Likelihood,Severity / Impact,Risk/Opportunity Level,Risk mitigation/ opportunity description.,Status Closed
1,Risk,Loss of key personnel,Regulatory,Ethan,3,5,High,Mitigation plan 1,Open
2,Opportunity,Loss of key personnel,Supply Chain,Diana,2,2,Medium,Mitigation plan 2,In Progress
3,Opportunity,Data loss due to hardware failure,Customer Satisfaction,Alice,4,1,High,Mitigation plan 3,Open
4,Opportunity,Supplier failure risk,Environmental,Charlie,1,4,High,Mitigation plan 4,Open
5,Risk,Positive impact of automation,IT Security,Ethan,3,2,Low,Mitigation plan 5,Closed
6,Opportunity,Compliance with new regulation,Customer Satisfaction,Charlie,3,5,High,Mitigation plan 6,Open
7,Risk,Supplier failure risk,Compliance,Diana,5,4,High,Mitigation plan 7,In Progress
8,Risk,Loss of key personnel,Customer Satisfaction,Alice,1,5,Low,Mitigation plan 8,In Progress
9,Risk,New market entry opportunity,Compliance,Diana,4,4,High,Mitigation plan 9,In Progress
10,Risk,New market entry opportunity,Supply Chain,Diana,3,4,High,Mitigation plan 10,In Progress
11,Opportunity,Data loss due to hardware failure,Environmental,Ethan,5,1,Medium,Mitigation plan 11,Open
12,Risk,Supplier failure risk,IT Security,Alice,1,3,Medium,Mitigation plan 12,Closed
13,Risk,Supplier failure risk,Compliance,Ethan,4,5,Medium,Mitigation plan 13,In Progress
14,Risk,Positive impact of automation,Supply Chain,Diana,4,2,Medium,Mitigation plan 14,In Progress
15,Opportunity,New market entry opportunity,Supply Chain,Diana,5,5,Low,Mitigation plan 15,Closed
16,Opportunity,Positive impact of automation,Customer Satisfaction,Charlie,4,1,Medium,Mitigation plan 16,In Progress
17,Opportunity,Supplier failure risk,IT Security,Charlie,3,3,Medium,Mitigation plan 17,In Progress
18,Opportunity,Positive impact of automation,Supply Chain,Ethan,1,5,Low,Mitigation plan 18,Closed
19,Risk,Positive impact of automation,IT Security,Charlie,5,4,High,Mitigation plan 19,Open
20,Risk,Positive impact of automation,Supply Chain,Diana,2,5,Medium,Mitigation plan 20,In Progress
21,Risk,Compliance with new regulation,Compliance,Ethan,5,1,Low,Mitigation plan 21,Open
22,Risk,Supplier failure risk,Compliance,Bob,2,5,Medium,Mitigation plan 22,Closed
23,Opportunity,Loss of key personnel,Environmental,Ethan,1,2,High,Mitigation plan 23,In Progress
24,Opportunity,Data loss due to hardware failure,IT Security,Charlie,1,2,Low,Mitigation plan 24,Open
25,Risk,Loss of key personnel,Supply Chain,Diana,2,4,Low,Mitigation plan 25,In Progress
26,Risk,Loss of key personnel,Customer Satisfaction,Ethan,4,5,High,Mitigation plan 26,Open
27,Risk,Supplier failure risk,Customer Satisfaction,Diana,5,2,Medium,Mitigation plan 27,Closed
28,Risk,Loss of key personnel,IT Security,Charlie,3,5,High,Mitigation plan 28,Open
29,Risk,Supplier failure risk,Customer Satisfaction,Alice,1,3,Low,Mitigation plan 29,Open
30,Risk,Compliance with new regulation,Regulatory,Diana,3,3,Medium,Mitigation plan 30,Open
31,Risk,New market entry opportunity,Compliance,Charlie,1,2,High,Mitigation plan 31,Open
32,Opportunity,Positive impact of automation,IT Security,Fiona,1,5,High,Mitigation plan 32,In Progress
33,Risk,Data loss due to hardware failure,Supply Chain,Alice,2,2,High,Mitigation plan 33,Closed
34,Opportunity,Cybersecurity breach,Supply Chain,Ethan,1,2,Low,Mitigation plan 34,Open
35,Risk,Cybersecurity breach,Regulatory,Ethan,5,3,Medium,Mitigation plan 35,In Progress
36,Risk,Cybersecurity breach,Regulatory,Ethan,4,1,Low,Mitigation plan 36,Open
37,Risk,Supplier failure risk,Supply Chain,Ethan,3,3,High,Mitigation plan 37,Open
38,Risk,Loss of key personnel,IT Security,Charlie,3,3,Medium,Mitigation plan 38,Closed
39,Opportunity,Compliance with new regulation,Customer Satisfaction,Ethan,5,4,Low,Mitigation plan 39,In Progress
40,Opportunity,Supplier failure risk,Compliance,Diana,5,4,Medium,Mitigation plan 40,Closed
41,Opportunity,Supplier failure risk,Compliance,Ethan,4,2,Medium,Mitigation plan 41,Open
42,Risk,Compliance with new regulation,IT Security,Charlie,1,1,Medium,Mitigation plan 42,Open
43,Risk,New market entry opportunity,Regulatory,Fiona,3,2,Low,Mitigation plan 43,Closed
44,Opportunity,New market entry opportunity,IT Security,Alice,4,4,High,Mitigation plan 44,In Progress
45,Risk,Positive impact of automation,IT Security,Ethan,1,2,Low,Mitigation plan 45,Open
46,Risk,Positive impact of automation,Regulatory,Charlie,3,2,High,Mitigation plan 46,Closed
47,Opportunity,Supplier failure risk,Regulatory,Charlie,2,2,Medium,Mitigation plan 47,Closed
48,Risk,Data loss due to hardware failure,Compliance,Charlie,5,5,Medium,Mitigation plan 48,In Progress
49,Opportunity,New market entry opportunity,Customer Satisfaction,Diana,5,5,Medium,Mitigation plan 49,Closed
50,Risk,New market entry opportunity,Customer Satisfaction,Bob,4,4,Medium,Mitigation plan 50,Closed
51,Risk,Loss of key personnel,Customer Satisfaction,Bob,2,2,Low,Mitigation plan 51,Open
52,Risk,New market entry opportunity,Regulatory,Alice,4,5,High,Mitigation plan 52,Closed
53,Opportunity,Data loss due to hardware failure,Customer Satisfaction,Ethan,3,5,Medium,Mitigation plan 53,Closed
54,Opportunity,Loss of key personnel,Regulatory,Alice,1,3,High,Mitigation plan 54,Open
55,Opportunity,Loss of key personnel,Regulatory,Diana,2,1,Medium,Mitigation plan 55,Closed
56,Opportunity,Positive impact of automation,Supply Chain,Alice,3,4,High,Mitigation plan 56,Closed
57,Risk,Compliance with new regulation,Supply Chain,Bob,1,4,Low,Mitigation plan 57,Open
58,Risk,Compliance with new regulation,Customer Satisfaction,Charlie,2,5,Low,Mitigation plan 58,Closed
59,Opportunity,Loss of key personnel,Compliance,Ethan,1,4,High,Mitigation plan 59,In Progress
60,Risk,Compliance with new regulation,Environmental,Diana,2,2,Low,Mitigation plan 60,In Progress
61,Opportunity,Cybersecurity breach,Compliance,Alice,2,1,Low,Mitigation plan 61,Open
62,Risk,Data loss due to hardware failure,Environmental,Fiona,4,5,Medium,Mitigation plan 62,In Progress
63,Risk,Supplier failure risk,Compliance,Ethan,3,3,Medium,Mitigation plan 63,Closed
64,Risk,Positive impact of automation,Customer Satisfaction,Alice,1,5,High,Mitigation plan 64,In Progress
65,Opportunity,Cybersecurity breach,Supply Chain,Alice,1,5,Low,Mitigation plan 65,Open
66,Risk,Supplier failure risk,Customer Satisfaction,Diana,3,3,High,Mitigation plan 66,Closed
67,Opportunity,Data loss due to hardware failure,IT Security,Ethan,4,5,High,Mitigation plan 67,Open
68,Risk,Positive impact of automation,Compliance,Ethan,2,1,Low,Mitigation plan 68,In Progress
69,Risk,Loss of key personnel,Customer Satisfaction,Fiona,3,5,Low,Mitigation plan 69,In Progress
70,Opportunity,Supplier failure risk,Environmental,Bob,1,4,Medium,Mitigation plan 70,Closed
71,Risk,Cybersecurity breach,Customer Satisfaction,Diana,2,5,Medium,Mitigation plan 71,Closed
72,Opportunity,Positive impact of automation,Compliance,Alice,4,2,Low,Mitigation plan 72,Closed
73,Risk,Positive impact of automation,Supply Chain,Charlie,1,4,High,Mitigation plan 73,Open
74,Risk,New market entry opportunity,Supply Chain,Diana,5,5,Medium,Mitigation plan 74,Closed
75,Risk,Positive impact of automation,Compliance,Ethan,2,2,High,Mitigation plan 75,Open
76,Risk,Supplier failure risk,Compliance,Charlie,1,4,Medium,Mitigation plan 76,In Progress
77,Risk,Data loss due to hardware failure,Supply Chain,Alice,4,3,Medium,Mitigation plan 77,Open
78,Opportunity,New market entry opportunity,Customer Satisfaction,Diana,4,3,Medium,Mitigation plan 78,Open
79,Opportunity,New market entry opportunity,Environmental,Charlie,3,2,Medium,Mitigation plan 79,In Progress
80,Opportunity,Compliance with new regulation,Environmental,Alice,5,4,Medium,Mitigation plan 80,In Progress
81,Opportunity,Positive impact of automation,Supply Chain,Fiona,5,5,Low,Mitigation plan 81,In Progress
82,Risk,Positive impact of automation,Supply Chain,Fiona,5,2,High,Mitigation plan 82,Closed
83,Risk,New market entry opportunity,Environmental,Ethan,4,5,Low,Mitigation plan 83,Open
84,Risk,Positive impact of automation,Environmental,Alice,4,3,High,Mitigation plan 84,In Progress
85,Opportunity,Positive impact of automation,Customer Satisfaction,Alice,5,2,Low,Mitigation plan 85,Closed
86,Opportunity,New market entry opportunity,Customer Satisfaction,Charlie,2,2,High,Mitigation plan 86,Open
87,Risk,Cybersecurity breach,Regulatory,Diana,3,5,High,Mitigation plan 87,In Progress
88,Opportunity,Loss of key personnel,Supply Chain,Alice,4,1,Medium,Mitigation plan 88,Closed
89,Opportunity,Compliance with new regulation,Customer Satisfaction,Alice,4,1,Medium,Mitigation plan 89,Closed
90,Opportunity,Supplier failure risk,Environmental,Alice,1,2,Medium,Mitigation plan 90,In Progress
91,Opportunity,Loss of key personnel,Supply Chain,Fiona,4,1,Medium,Mitigation plan 91,Closed
92,Risk,Supplier failure risk,Environmental,Diana,2,1,High,Mitigation plan 92,In Progress
93,Opportunity,Loss of key personnel,Regulatory,Diana,1,1,High,Mitigation plan 93,Closed
94,Risk,Cybersecurity breach,Regulatory,Ethan,2,5,High,Mitigation plan 94,In Progress
95,Risk,New market entry opportunity,IT Security,Bob,4,2,Medium,Mitigation plan 95,In Progress
96,Opportunity,New market entry opportunity,Regulatory,Diana,5,5,Low,Mitigation plan 96,Closed
97,Risk,Data loss due to hardware failure,Customer Satisfaction,Ethan,5,4,Medium,Mitigation plan 97,Closed
98,Opportunity,Loss of key personnel,Compliance,Alice,5,3,Medium,Mitigation plan 98,Closed
99,Opportunity,Loss of key personnel,Environmental,Diana,4,1,Medium,Mitigation plan 99,Open
100,Opportunity,Loss of key personnel,Supply Chain,Ethan,1,2,Medium,Mitigation plan 100,Closed
101,Opportunity,New market entry opportunity,Environmental,Charlie,1,4,Low,Mitigation plan 101,Closed
102,Opportunity,Positive impact of automation,Regulatory,Charlie,1,3,Medium,Mitigation plan 102,Closed
103,Opportunity,Loss of key personnel,Environmental,Charlie,5,5,High,Mitigation plan 103,Closed
104,Opportunity,Supplier failure risk,Regulatory,Charlie,1,1,High,Mitigation plan 104,Closed
105,Risk,Compliance with new regulation,Supply Chain,Alice,1,3,Low,Mitigation plan 105,Open
